"payroll_brunch_name","year","payroll_avg"
Administrativní a podpůrné činnosti,2006,13929.00
Administrativní a podpůrné činnosti,2007,14676.25
Administrativní a podpůrné činnosti,2008,14989.13
Administrativní a podpůrné činnosti,2009,15480.88
Administrativní a podpůrné činnosti,2010,15582.38
Administrativní a podpůrné činnosti,2011,16028.00
Administrativní a podpůrné činnosti,2012,16487.75
Administrativní a podpůrné činnosti,2013,16427.63
Administrativní a podpůrné činnosti,2014,16695.88
Administrativní a podpůrné činnosti,2015,17064.88
Administrativní a podpůrné činnosti,2016,18057.75
Administrativní a podpůrné činnosti,2017,19214.63
Administrativní a podpůrné činnosti,2018,20559.50
Činnosti v oblasti nemovitostí,2006,18396.38
Činnosti v oblasti nemovitostí,2007,19851.25
Činnosti v oblasti nemovitostí,2008,20223.25
Činnosti v oblasti nemovitostí,2009,20312.63
Činnosti v oblasti nemovitostí,2010,20802.88
Činnosti v oblasti nemovitostí,2011,21710.25
Činnosti v oblasti nemovitostí,2012,21995.50
Činnosti v oblasti nemovitostí,2013,21622.75
Činnosti v oblasti nemovitostí,2014,22287.38
Činnosti v oblasti nemovitostí,2015,23064.88
Činnosti v oblasti nemovitostí,2016,24078.13
Činnosti v oblasti nemovitostí,2017,25611.75
Činnosti v oblasti nemovitostí,2018,27584.25
Doprava a skladování,2006,19125.25
Doprava a skladování,2007,20523.75
Doprava a skladování,2008,22190.88
Doprava a skladování,2009,22849.13
Doprava a skladování,2010,22901.38
Doprava a skladování,2011,22909.13
Doprava a skladování,2012,23145.75
Doprava a skladování,2013,23270.63
Doprava a skladování,2014,23737.00
Doprava a skladování,2015,24507.25
Doprava a skladování,2016,25660.25
Doprava a skladování,2017,27289.13
Doprava a skladování,2018,29297.63
Informační a komunikační činnosti,2006,35367.50
Informační a komunikační činnosti,2007,37677.00
Informační a komunikační činnosti,2008,41324.38
Informační a komunikační činnosti,2009,42660.13
Informační a komunikační činnosti,2010,43298.50
Informační a komunikační činnosti,2011,44800.25
Informační a komunikační činnosti,2012,46165.25
Informační a komunikační činnosti,2013,45697.50
Informační a komunikační činnosti,2014,47372.50
